Wavelength_nm,Reflectance,Transmittance,Absorbance
400.0,0.5163104668501268,1.0130409739790995e-33,0.4836895331498732
410.00000000000006,0.5139671264211756,9.549559545905514e-34,0.4860328735788244
420.00000000000006,0.5133706947718885,1.0088241807634115e-33,0.48662930522811154
430.00000000000006,0.5119384081716472,9.868185054139345e-34,0.48806159182835285
440.00000000000006,0.510297787315328,1.030678376627554e-33,0.48970221268467196
450.00000000000006,0.5090347470646841,1.6921310891555244e-33,0.4909652529353159
460.00000000000006,0.5079792061248184,2.7203750401674415e-33,0.4920207938751816
470.00000000000006,0.507463444359975,4.070157325585448e-33,0.49253655564002496
480.0000000000001,0.5075620674618686,8.862184014600933e-33,0.4924379325381314
490.0000000000001,0.5078735002845969,2.660969288507197e-32,0.4921264997154031
500.0000000000001,0.5084294983091031,9.457544227097435e-32,0.4915705016908969
510.0000000000001,0.5096712576432173,3.592037949680456e-31,0.4903287423567827
520.0000000000001,0.5115798949440233,1.3318605159739818e-30,0.48842010505597666
530.0000000000001,0.5136916069311256,5.0417000884470724e-30,0.4863083930688744
540.0000000000001,0.5158469359607452,1.9996711006266072e-29,0.48415306403925484
550.0000000000001,0.5183093800335746,8.019809518935354e-29,0.48169061996642537
560.0000000000001,0.5211844501259287,2.9907122590982428e-28,0.47881554987407127
570.0000000000002,0.5238927951498238,1.0911326278375046e-27,0.4761072048501762
580.0000000000002,0.525973953293974,4.2200210368395525e-27,0.474026046706026
590.0000000000002,0.5273287472805307,1.7868414237598514e-26,0.4726712527194693
600.0000000000002,0.5269866275422548,8.158569196493223e-26,0.4730133724577452
610.0000000000002,0.5234454122958307,4.031878919186119e-25,0.47655458770416925
620.0000000000002,0.5162450423597803,2.1010117828247154e-24,0.4837549576402197
630.0000000000002,0.5074680542195091,1.0268569562524524e-23,0.49253194578049087
640.0000000000002,0.4991366977807084,4.192401274515263e-23,0.5008633022192917
650.0000000000002,0.4926697423844971,1.338099916938608e-22,0.5073302576155029
660.0000000000002,0.48784648406261205,3.55345445036349e-22,0.512153515937388
670.0000000000002,0.48424324012350806,8.589996857679354e-22,0.5157567598764919
680.0000000000002,0.48147127039724197,2.011152211156701e-21,0.5185287296027581
690.0000000000002,0.47942446182969767,4.651513934680685e-21,0.5205755381703023
700.0000000000003,0.4782178855540735,1.0551998451098144e-20,0.5217821144459265
710.0000000000003,0.4779133515634796,2.3330670847207823e-20,0.5220866484365204
720.0000000000003,0.4784541892349884,5.005923723368162e-20,0.5215458107650116
730.0000000000003,0.4796429016611811,1.0431296349535396e-19,0.5203570983388188
740.0000000000003,0.4811830205989212,2.1185394001166327e-19,0.5188169794010788
750.0000000000003,0.4827235902920719,4.2076415193045843e-19,0.5172764097079281
760.0000000000003,0.4839048751263151,8.198603662900064e-19,0.5160951248736849
770.0000000000003,0.4843720013569742,1.578164617216845e-18,0.5156279986430258
780.0000000000003,0.4837558404848546,3.0133370285631573e-18,0.5162441595151455
790.0000000000003,0.4817009345826166,5.7171567770828165e-18,0.5182990654173834
800.0000000000003,0.47787506927837536,1.0795938227388304e-17,0.5221249307216247
810.0000000000003,0.47197745387867057,2.0320902945962937e-17,0.5280225461213295
820.0000000000003,0.46379858703343474,3.816397121744225e-17,0.5362014129665653
830.0000000000005,0.45331738484365874,7.061991697603351e-17,0.5466826151563412
840.0000000000005,0.44066520005654686,1.263204373663466e-16,0.559334799943453
850.0000000000005,0.4260790988041469,2.1820738676027387e-16,0.5739209011958528
860.0000000000005,0.4099902792502526,3.6599988951268315e-16,0.5900097207497471
870.0000000000005,0.3930460445062646,6.17888126125491e-16,0.6069539554937347
880.0000000000005,0.3759697130532832,1.0483056256199453e-15,0.6240302869467158
890.0000000000005,0.35960313824394496,1.7489528946710513e-15,0.6403968617560533
900.0000000000005,0.3450337522467547,2.8632315832654052e-15,0.6549662477532424
910.0000000000005,0.33360729856212545,4.605293150704511e-15,0.66639270143787
920.0000000000005,0.3268565204513511,7.277080911731626e-15,0.6731434795486415
930.0000000000005,0.32631171167575823,1.1282864230565917e-14,0.6736882883242304
940.0000000000005,0.3331780694461429,1.7172405482008942e-14,0.6668219305538399
950.0000000000005,0.34798188552080533,2.563310459117688e-14,0.652018114479169
960.0000000000006,0.3703071901225938,3.7439002151796786e-14,0.6296928098773688
970.0000000000006,0.3988701113520744,5.313010094528984e-14,0.6011298886478724
980.0000000000006,0.431746471985598,7.333682737932516e-14,0.5682535280143286
990.0000000000006,0.4668108408418677,9.874080882743631e-14,0.5331891591580337
1000.0000000000005,0.502119644946083,1.3018099764856746e-13,0.49788035505378686
1010.0000000000007,0.5361283845712014,1.6856850343913333e-13,0.46387161542863004
1020.0000000000005,0.5677955972941493,2.1505044030517386e-13,0.43220440270563565
1030.0000000000007,0.5965130146606,2.725543575838365e-13,0.4034869853391274
1040.0000000000005,0.622025804871151,3.4434366734880463e-13,0.37797419512850466
1050.0000000000007,0.6443131895585188,4.3422692203819863e-13,0.355686810441047
1060.0000000000005,0.6634941727339091,5.472699864614128e-13,0.3365058272655436
1070.0000000000007,0.6797594470653131,6.90200285600816e-13,0.32024055293399667
1080.0000000000005,0.6933281428803738,8.714962900869371e-13,0.3066718571187547
1090.0000000000007,0.7044191987256274,1.1018225371002402e-12,0.29558080127327074
1100.0000000000005,0.7132507010695707,1.3826997906061773e-12,0.2867492989290466
1110.0000000000007,0.7200343674724237,1.7157296648394172e-12,0.2799656325258606
1120.0000000000005,0.724961049454262,2.106270419166699e-12,0.27503895054363175
1130.0000000000007,0.728187723806119,2.561074302791044e-12,0.27181227619132
