Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.29818842	0.22616917	0.6564978	0.0	4.857143	11.058824	6.12104	24.0	2.0	0.20820059	0.23103924	0.6564978	0.0	0.078068584	0.015645294	0.10772832	0.034995794	100	-0.01757525	0.034732483	-0.0034543723	-0.0006960909	1.7575253	-3.761772e-05	0.0	4.0	0.3402085304260254	293
1	0.34623688	0.24751523	0.65827805	0.0	6.7	13.923077	9.449962	37.0	1.0	0.2866416	0.24148037	0.65827805	0.0	0.085852034	0.01663074	0.118566915	0.03939285	200	-0.017648622	0.04952595	-0.0016410202	-0.0011677555	1.764861	0.0005109978	0.0	4.0	0.6665959358215332	308
2	0.2919264	0.23540962	0.67113304	0.0	7.7777777	21.0	13.994505	36.0	1.0	0.20626922	0.22266017	0.67113304	0.0	0.09027266	0.014313909	0.12153725	0.05532626	300	-0.01765114	0.031504374	-0.001445204	-0.0006387294	1.7651136	0.00034413816	0.0	4.0	1.0841350555419922	241
3	0.22525616	0.20497729	0.65060097	0.0	4.133333	21.578947	9.252686	37.0	3.0	0.21181758	0.20277734	0.65060097	0.0	0.10033679	0.013306314	0.12762964	0.06456687	400	-0.017543346	0.026721735	-0.0012065861	-0.0005676082	1.7543409	-7.0400245e-05	0.0	4.0	1.453730821609497	272
4	0.24512002	0.18976949	0.5329891	0.0	5.0	15.555555	10.291432	37.0	0.0	0.22704488	0.1925882	0.5329891	0.0	0.10293413	0.014309407	0.13014182	0.06423457	500	-0.01756274	0.026076548	-0.0010122433	-0.00061372947	1.7562776	0.0002154684	0.0	4.0	1.871410846710205	240
5	0.37952653	0.19790033	0.7209952	0.005408227	7.181818	19.133333	8.341597	36.0	3.0	0.37727913	0.18710953	0.7209952	0.005408227	0.11050753	0.0141871385	0.14592949	0.077068344	600	-0.017616794	0.053190667	-0.0009368099	-0.0017275517	1.7616756	0.00028648853	0.0	4.0	2.269031047821045	253
6	0.26569852	0.21801428	0.63936543	-0.05970445	3.6842105	22.681818	10.951905	37.0	0.0	0.3058432	0.21797723	0.63936543	-0.05970445	0.118649445	0.014894126	0.14785634	0.08616562	700	-0.017490566	0.041274562	-0.001058395	-0.0012633423	1.7490487	-2.5114998e-05	0.0	4.0	2.677734851837158	245
7	0.13805494	0.14743033	0.37304986	-0.050004415	4.6	18.736841	11.30832	36.0	0.0	0.1776565	0.14181057	0.37304986	-0.050004415	0.12831494	0.013580023	0.15356582	0.08731532	800	-0.017544433	0.011090903	-0.0014677932	-0.00029116333	1.7544414	0.00043913838	0.0	4.0	3.0501530170440674	270
8	0.11997081	0.17274918	0.44890267	-0.0273623	5.769231	19.588236	9.023231	36.0	5.0	0.108710326	0.16337009	0.44890267	-0.0273623	0.13723789	0.018942488	0.18956849	0.09081228	900	-0.017580539	0.013832977	-0.000700064	0.00010804972	1.7580523	-0.00028714654	0.0	4.0	3.4028689861297607	285
9	0.22737093	0.16516261	0.58938235	-0.04078167	4.9333334	18.944445	11.172746	36.0	0.0	0.1922454	0.16795036	0.58938235	-0.04078167	0.1387451	0.017296484	0.18054165	0.09790384	1000	-0.017563015	0.014466556	-0.0012773382	-0.00012242445	1.7563	8.11529e-05	0.0	4.0	3.783686399459839	264
