Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
18	0.25439343	1.5768079	0.935356	-17.35635	4.223301	52.633335	29.075006	99.0	0.0	0.16179973	1.6553712	0.935356	-17.35635	-0.030989457	0.024435548	0.03220921	-0.09022082	19000	-0.01939808	1.3877745	-0.00032520667	-0.00034042448	1.9398062	3.654337e-05	0.0	4.0	53.15596032142639	381
19	0.08050077	3.906434	0.93844336	-55.379463	4.161905	45.619717	27.633093	99.0	0.0	0.10820678	3.1047087	0.93844336	-55.379463	-0.029254671	0.02492937	0.037831664	-0.081312284	20000	-0.019397326	4.827147	-0.00016429555	-0.0004185997	1.9397316	5.39155e-05	0.0	4.0	55.41364622116089	446
20	0.19414133	1.5216509	0.9395902	-13.104195	4.0704226	45.124424	28.393843	99.0	0.0	0.14112465	1.3119682	0.9395902	-13.104195	-0.026254669	0.025581384	0.03380672	-0.086740986	21000	-0.019396447	0.871527	-0.00036049634	-0.0004901476	1.9396456	-4.9580096e-05	0.0	4.0	57.66832947731018	446
21	0.25385317	1.2250415	0.94582343	-11.666171	4.027907	46.92202	27.740416	99.0	0.0	0.16892289	1.1802733	0.94582343	-11.666171	-0.024455205	0.025025833	0.053344965	-0.08170268	22000	-0.019395847	0.7139597	-0.0004366818	-0.00057007745	1.9395872	8.859491e-05	0.0	4.0	59.976221561431885	436
22	0.36529276	0.7276616	0.93617564	-4.5978136	4.2173915	48.604763	30.159906	99.0	0.0	0.27103564	0.70232254	0.93617564	-4.5978136	-0.020775242	0.02581988	0.041487344	-0.076036826	23000	-0.019394755	0.2892722	-0.00060526095	-0.0010093786	1.9394699	1.9629002e-05	0.0	4.0	62.201765298843384	455
23	0.3829897	0.67598593	0.9354111	-5.058258	4.0139537	47.798164	26.814272	99.0	0.0	0.2797505	0.65760195	0.9354111	-5.058258	-0.015926886	0.027178086	0.05385621	-0.07156406	24000	-0.019392747	0.2610533	-0.00084547326	-0.0012081414	1.9392738	5.3413867e-05	0.0	4.0	64.41287040710449	455
24	0.09282298	2.788238	0.9345509	-35.123844	4.1037736	53.688374	27.446873	99.0	1.0	-0.039969392	3.0362287	0.9345509	-35.123844	-0.009867876	0.027838644	0.055201143	-0.070456214	25000	-0.019390738	4.6064095	-0.00035105273	-0.00013578497	1.939074	-2.197981e-05	0.0	4.0	66.66275691986084	447
25	0.33391166	1.4515512	0.9398784	-19.009384	4.00939	49.662037	30.305874	99.0	0.0	0.24308427	1.4742765	0.9398784	-19.009384	-0.0070904465	0.029480668	0.06189418	-0.07649062	26000	-0.019389372	1.1155748	-0.0003767563	-0.00080207735	1.9389368	-4.8326016e-05	0.0	4.0	68.95845174789429	438
26	-0.1142987	6.8893166	0.9466293	-99.584404	4.0607476	49.97209	26.636557	99.0	0.0	0.012608785	5.516034	0.9466293	-99.584404	-0.0022404005	0.030250663	0.068080805	-0.06580678	27000	-0.01938707	15.202266	-0.00019449182	-0.00053338334	1.9387077	1.3422969e-06	0.0	4.0	71.54021525382996	389
27	0.26363954	1.528014	0.9416441	-14.43025	4.018433	49.47273	28.348389	99.0	0.0	0.18835726	1.2820348	0.9416441	-14.43025	0.0006783094	0.031389505	0.07956736	-0.0713155	28000	-0.019386573	0.8381051	-0.000313621	-0.0005611256	1.9386581	-9.00984e-06	0.0	4.0	74.39633750915527	352
28	0.22809231	1.5338732	0.9342608	-14.438379	4.0707545	51.246513	28.003815	99.0	1.0	0.17574939	1.3670933	0.9342608	-14.438379	0.005665126	0.032379728	0.084545985	-0.06966513	29000	-0.0193852	0.94819945	-0.00039850082	-0.0005764514	1.9385208	3.373289e-05	0.0	4.0	77.50106287002563	326
29	0.29245317	0.96103406	0.93535256	-9.621612	3.986175	51.52941	28.560886	99.0	0.0	0.20615609	0.9038842	0.93535256	-9.621612	0.007924982	0.033163425	0.09056498	-0.06848375	30000	-0.019384015	0.4286009	-0.0004420532	-0.00066072866	1.9384027	7.000065e-05	0.0	4.0	80.18750214576721	377
30	0.401608	0.504775	0.94031703	-2.4114995	4.3349752	50.252426	28.686527	99.0	0.0	0.32204464	0.47018194	0.94031703	-2.4114995	0.014753422	0.033949837	0.09635284	-0.065832324	31000	-0.019382015	0.15970287	-0.0010196269	-0.0012708139	1.9381981	0.00019380997	0.0	4.0	83.40424799919128	314
31	0.34493676	0.77304643	0.9494512	-6.1623564	4.0516434	49.19355	28.392239	99.0	0.0	0.28695965	0.62847817	0.9494512	-6.1623564	0.018262276	0.034871742	0.10602063	-0.06215231	32000	-0.019378237	0.23370655	-0.00086436793	-0.0013148487	1.9378222	3.789139e-05	0.0	4.0	86.1590678691864	365
32	0.22509672	2.200936	0.9345928	-29.19983	3.8909092	53.39462	29.602695	99.0	1.0	0.15333109	2.047533	0.9345928	-29.19983	0.024573326	0.03682637	0.12138642	-0.056391217	33000	-0.019376084	2.1037152	-0.00038578827	-0.0006234348	1.9376093	4.344368e-05	0.0	4.0	88.94332599639893	361
33	-0.07038475	3.8245556	0.94692034	-49.927967	4.051402	49.62385	28.630129	99.0	0.0	-0.019943476	3.060197	0.94692034	-49.927967	0.029859211	0.03739697	0.119736776	-0.03918215	34000	-0.019372016	4.6771183	-0.0002629608	-4.6253204e-05	1.9372034	0.00011845017	0.0	4.0	91.67263174057007	369
34	0.3916533	0.8849174	0.9397042	-9.51457	3.9082568	50.18018	28.371473	99.0	0.0	0.31604728	0.77440196	0.9397042	-9.51457	0.03421166	0.04007313	0.12987074	-0.050313022	35000	-0.01936815	0.3417855	-0.0004771892	-0.000854671	1.9368151	-8.6132524e-05	0.0	4.0	94.53460240364075	351
35	0.28438166	1.1150998	0.93393034	-10.370269	3.8206277	52.15929	29.774689	99.0	0.0	0.20754692	1.0439389	0.93393034	-10.370269	0.036224067	0.040125392	0.12695213	-0.049269017	36000	-0.019367166	0.55834985	-0.0005542394	-0.0006811321	1.9367155	-9.319781e-06	0.0	4.0	97.43349409103394	347
36	0.42170864	0.848446	0.93543273	-9.030477	3.935484	52.374428	29.44256	99.0	0.0	0.3499784	0.6775717	0.93543273	-9.030477	0.043558203	0.04200657	0.13619822	-0.04444298	37000	-0.019363564	0.27731448	-0.00070743635	-0.0013691317	1.936356	-1.6026019e-05	0.0	4.0	100.14845323562622	370
37	0.23692687	1.8550287	0.94429827	-22.585245	3.6724892	50.722942	28.117891	98.0	1.0	0.18379427	1.7311388	0.94429827	-22.585245	0.046340868	0.04229431	0.14851137	-0.042341024	38000	-0.019360777	1.5023286	-0.00046317163	-0.00078264624	1.9360776	-0.00011857081	0.0	4.0	103.02152132987976	350
38	0.20734917	2.3874965	0.935356	-26.832378	3.7522123	48.039303	28.579823	99.0	0.0	0.12712917	2.3166962	0.935356	-26.832378	0.054044258	0.044205636	0.1642274	-0.033212148	39000	-0.019358005	2.6867151	-0.00047926512	-0.0003697388	1.9358015	-1.48668305e-05	0.0	4.0	105.66233611106873	382
39	0.42124185	0.7076211	0.94058245	-4.23357	3.7268722	47.800865	28.58729	99.0	0.0	0.316404	0.6631959	0.94058245	-4.23357	0.0596448	0.046691865	0.16709226	-0.036275264	40000	-0.019354451	0.25485986	-0.0010155477	-0.0009478554	1.9354438	-5.9355738e-05	0.0	4.0	108.42019701004028	364
40	0.39717704	0.66218185	0.9344422	-3.3871024	3.9095023	48.243244	28.714882	99.0	0.0	0.31712237	0.5739905	0.9344422	-3.3871024	0.067224994	0.047967877	0.1748824	-0.03330105	41000	-0.019348184	0.19806156	-0.0011437992	-0.0011413358	1.9348176	4.9954895e-05	0.0	4.0	111.26865291595459	353
41	0.30536705	1.5589128	0.94692034	-15.598198	3.7743363	52.55066	28.395117	99.0	0.0	0.21361345	1.4319167	0.94692034	-15.598198	0.07308348	0.048887677	0.18786125	-0.015116259	42000	-0.01934335	1.0335598	-0.00069043506	-0.00070114434	1.9343342	-5.0452225e-05	0.0	4.0	113.92738223075867	379
42	0.26676562	2.3362684	0.937556	-30.338284	3.8636363	48.327354	29.049448	99.0	0.0	0.2287752	2.1018026	0.937556	-30.338284	0.07768966	0.04977578	0.19898364	-0.02020473	43000	-0.01933911	2.2160592	-0.0004265858	-0.0007864721	1.9339111	1.8614293e-05	0.0	4.0	116.65076541900635	369
43	0.37836078	1.2532551	0.93535256	-14.138923	3.7079647	50.52609	29.006546	99.0	0.0	0.2553842	1.3126333	0.93535256	-14.138923	0.083408125	0.052402377	0.20536822	-0.017277315	44000	-0.019335259	0.87817264	-0.0006310609	-0.0007138625	1.9335265	-7.665491e-05	0.0	4.0	119.63802814483643	336
44	0.2919191	1.3949881	0.9352654	-13.324938	3.6157205	50.97425	26.628088	99.0	1.0	0.24890809	1.2375205	0.9352654	-13.324938	0.08718603	0.053518396	0.20948842	-0.017703138	45000	-0.019331	0.7753654	-0.00069378316	-0.0007816404	1.9331012	-3.9594655e-05	0.0	4.0	122.42846870422363	360
45	0.121050365	3.26362	0.9466293	-43.561146	4.0046296	55.159817	28.59123	99.0	1.0	0.004232015	3.536581	0.9466293	-43.561146	0.09778779	0.055314727	0.2171735	1.0661781e-05	46000	-0.019324701	6.2613244	-0.00035953522	-6.5878034e-05	1.9324692	2.0884992e-05	0.0	4.0	125.11148810386658	375
46	-2.9065502	49.055634	0.94781196	-723.8151	3.9585254	52.109093	27.192694	99.0	0.0	-1.8325497	39.6082	0.94781196	-723.8151	0.099584594	0.0556679	0.2490552	-0.01513765	47000	-0.019321436	786.16095	-0.0001487881	-0.015508387	1.9321456	2.1535872e-05	0.0	4.0	127.81749510765076	372
47	0.41671157	0.7127597	0.94692034	-6.6371355	4.027907	49.24074	28.94227	99.0	0.0	0.34157634	0.6063351	0.94692034	-6.6371355	0.08833103	0.05296247	0.21937427	-0.007512331	48000	-0.01932016	0.21752849	-0.00067141885	0.0016425662	1.93202	0.0001353879	0.0	4.0	130.52300095558167	372
