Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
0	0.29519013	0.22347914	0.6903145	-0.0005384506	4.117647	18.6	11.177656	36.0	3.0	0.2508356	0.2480287	0.6903145	-0.050268944	-0.019435648	0.02092876	0.048240773	-0.06725869	100	-0.017520353	0.06648323	-0.0022659749	-0.0016634255	1.752029	0.00015626909	0.0	4.0	0.3690176010131836	270
1	0.32372677	0.17401536	0.626045	0.0	5.5384617	18.529411	9.555519	33.0	0.0	0.27515548	0.22019394	0.626045	-0.05642315	-0.008308332	0.020483159	0.05021295	-0.06025984	200	-0.017576247	0.06479597	-0.00118866	-0.0018381113	1.757619	0.00017243864	0.0	4.0	0.7120318412780762	293
2	0.25198743	0.18220223	0.5691178	-0.0121568525	4.6	20.0	10.841098	37.0	1.0	0.24513926	0.19726536	0.5691178	-0.0121568525	0.0009847034	0.023986882	0.06031764	-0.04910787	300	-0.017576355	0.048249703	-0.0010689981	-0.001558525	1.7576357	-6.055832e-05	0.0	4.0	1.104832649230957	255
3	0.29007968	0.23259392	0.6721905	0.0	4.733333	19.894737	11.831692	37.0	1.0	0.2594941	0.2399534	0.6721905	-0.03330097	0.0044760345	0.021719757	0.06637806	-0.0578975	400	-0.017541274	0.06063049	-0.001048293	-0.0015871008	1.754112	0.000120053286	0.0	4.0	1.4926598072052002	259
4	0.2609681	0.1661211	0.60490453	0.0	5.230769	18.0	13.397761	37.0	0.0	0.18954115	0.17805927	0.60490453	-0.007275382	0.013920202	0.021058487	0.06615389	-0.043161873	500	-0.017595787	0.03071575	-0.0011071041	-0.0010162464	1.7595911	-3.862384e-06	0.0	4.0	1.8807494640350342	259
5	0.28924862	0.1943348	0.58176404	0.0	7.7777777	22.23077	10.906271	35.0	3.0	0.18608643	0.20744585	0.58176404	0.0	0.024829127	0.02476276	0.09976902	-0.023575835	600	-0.017649516	0.03441802	-0.001136655	-0.00085720187	1.7649547	0.0004954481	0.0	4.0	2.1873419284820557	328
6	0.20946594	0.20957142	0.6015793	-0.055416793	4.214286	18.117647	11.955222	35.0	0.0	0.16311945	0.2075277	0.6015793	-0.055416793	0.026204152	0.020542162	0.07927792	-0.019099884	700	-0.017576545	0.031145494	-0.00081584207	-0.00063042215	1.7576559	-4.9123762e-05	0.0	4.0	2.572805166244507	260
7	0.19578375	0.18147537	0.6388877	0.0	3.5333333	14.222222	9.216866	31.0	0.0	0.14272392	0.17500514	0.6388877	0.0	0.03764238	0.025993485	0.1012904	-0.02332874	800	-0.017558437	0.022429958	-0.0008488558	-0.0004218783	1.7558403	0.00016515255	0.0	4.0	2.9333813190460205	279
8	0.2601873	0.12706587	0.4409771	0.0	6.0833335	15.625	9.518896	32.0	0.0	0.21596682	0.16255952	0.4409771	0.0	0.040697075	0.022867557	0.09836041	-0.0025088377	900	-0.017593369	0.029206742	-0.0010415222	-0.00076606893	1.7593443	-0.00011004448	0.0	4.0	3.292935371398926	279
9	0.30525827	0.17708883	0.6575767	0.041973166	4.714286	15.888889	9.688992	36.0	0.0	0.29389206	0.18665297	0.6575767	0.034731057	0.044202276	0.021196723	0.104307234	0.0010761963	1000	-0.017558722	0.04839164	-0.0012994353	-0.001371298	1.7558706	0.00014651775	0.0	4.0	3.6809194087982178	259
